l1_group_id,l1_artifact_id,l1_version,l1_release_date,l2_group_id,l2_artifact_id,l2_version,l2_release_date,c1_group_id,c1_artifact_id,c1_version,c1_release_date,c2_group_id,c2_artifact_id,c2_version,c2_release_date
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.zookeeper,zookeeper,3.4.2,2011-12-29T23:50:55Z[GMT],org.apache.zookeeper,zookeeper,3.4.3,2012-02-14T04:04:55Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.hibernate,hibernate-core,3.6.6.Final,2011-07-21T01:29:28Z[GMT],org.hibernate,hibernate-core,3.6.7.Final,2011-08-17T20:21:42Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.mybatis,mybatis,3.0.6,2011-10-09T00:57:31Z[GMT],org.mybatis,mybatis,3.1.0,2012-03-11T21:48:18Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],com.sun.electric,electric-distribution,9.01-b,2016-08-10T15:08:35Z[GMT],com.sun.electric,electric-distribution,9.02-e,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],com.sun.electric,electric-core,9.01-b,2011-02-18T16:01:18Z[GMT],com.sun.electric,electric-core,9.02-e,2012-03-10T03:13:44Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.shiro,shiro-core,1.0.0-incubating,2010-05-21T19:45:55Z[GMT],org.apache.shiro,shiro-core,1.1.0,2010-10-30T02:37:11Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.commonjava.util,logging,1.0,2011-10-04T09:15:46Z[GMT],org.commonjava.util,logging,1.1,2012-01-30T15:51:45Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],net.sf.ehcache,ehcache-core,2.5.0,2011-11-14T19:55:21Z[GMT],net.sf.ehcache,ehcache-core,2.5.1,2012-01-30T19:16:42Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,2011-02-22T08:09:24Z[GMT],org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.2,2012-05-30T18:27:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.mina,mina-core,2.0.4,2011-06-08T10:22:55Z[GMT],org.apache.mina,mina-core,2.0.5,2012-08-21T15:02:15Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.openengsb.ports,openengsb-ports-parent,1.3.0.M3,2016-08-10T15:08:35Z[GMT],org.openengsb.ports,openengsb-ports-parent,2.0.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.openengsb.ui,openengsb-ui-parent,1.3.0.M3,2016-08-10T15:08:35Z[GMT],org.openengsb.ui,openengsb-ui-parent,2.0.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.openengsb.connector,openengsb-connector-parent,1.3.0.M3,2016-08-10T15:08:35Z[GMT],org.openengsb.connector,openengsb-connector-parent,2.0.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu.inject,guice-plexus-shim,2.2.3,2011-06-08T20:23:35Z[GMT],org.sonatype.sisu.inject,guice-plexus-shim,2.3.0,2011-09-13T04:15:58Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu,sisu-inject-plexus,2.2.3,2011-06-08T20:24:19Z[GMT],org.sonatype.sisu,sisu-inject-plexus,2.3.0,2011-09-13T04:16:25Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,datatables-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,datatables-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,gae-initializer-example,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,gae-initializer-example,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-jasperreports,1.5-RC7,2011-08-29T01:37:39Z[GMT],org.wicketstuff,wicketstuff-jasperreports,1.5.0,2011-09-13T04:07:48Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,jquery-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,jquery-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,jsr303-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,jsr303-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,minis-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,minis-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,mootools-meiomask-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,mootools-meiomask-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicket-security-parent,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,wicket-security-parent,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicket-security-swarm-parent,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,wicket-security-swarm-parent,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicket-security-wasp-parent,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,wicket-security-wasp-parent,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-shiro,1.5-RC7,2011-08-29T01:52:34Z[GMT],org.wicketstuff,wicketstuff-shiro,1.5.0,2011-09-13T04:23:45Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket-spring,1.5.0,2011-09-02T15:31:12Z[GMT],org.apache.wicket,wicket-spring,1.5.1,2011-09-25T22:47:19Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket-ioc,1.5.0,2011-09-02T15:31:01Z[GMT],org.apache.wicket,wicket-ioc,1.5.1,2011-09-25T22:47:09Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-jquery,1.5-RC7,2011-08-29T01:39:26Z[GMT],org.wicketstuff,wicketstuff-jquery,1.5.0,2011-09-13T04:09:42Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],ch.qos.logback,logback-classic,0.9.28,2011-01-25T22:12:51Z[GMT],ch.qos.logback,logback-classic,0.9.29,2011-06-09T22:08:46Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket-extensions,1.5.0,2011-09-02T15:30:23Z[GMT],org.apache.wicket,wicket-extensions,1.5.1,2011-09-25T22:46:31Z[GMT]
