,c1_group_id,c1_artifact_id,c1_version,c2_version
1710,org.apache.wicket,wicket-spring,1.5-M3,1.5-RC1
1714,org.sonatype.appcontext,appcontext,1.0,2.0
1718,org.quartz-scheduler,quartz,1.8.3,1.8.4
1719,net.sf.ehcache,ehcache-core,2.0.0-beta,2.0.0
1732,org.apache.wicket,wicket,1.4.14,1.4.15
1733,org.hibernate,hibernate-core,3.6.0.Final,3.6.1.Final
1734,org.ops4j.pax.url,pax-url-aether,1.4.0.RC1,1.4.0
1780,org.apache.mina,mina-core,2.0.1,2.0.2
1781,org.apache.wicket,wicket,1.5-M3,1.5-RC1
1786,org.apache.wicket,wicket,1.4.17,1.4.18
1808,org.grails,grails-crud,1.3.7,2.0.1
1814,org.apache.thrift,libthrift,0.6.1,0.7.0
1816,org.apache.mina,mina-core,2.0.1,2.0.2
1817,org.apache.thrift,libthrift,0.6.1,0.7.0
1823,org.apache.mina,mina-core,2.0.1,2.0.2
1845,com.hp.hpl.jena,arq,2.8.6,2.8.7
1846,com.hp.hpl.jena,jena,2.6.3,2.6.4
1847,org.apache.mina,mina-core,2.0.1,2.0.2
1849,com.hp.hpl.jena,arq,2.8.6,2.8.7
1858,org.apache.aries.transaction,org.apache.aries.transaction.blueprint,0.1-incubating,0.2-incubating
1859,org.apache.aries.jpa,org.apache.aries.jpa.blueprint.aries,0.1-incubating,0.2-incubating
1889,org.apache.jackrabbit,jackrabbit-core,2.2.7,2.2.8
1890,org.apache.mina,mina-core,2.0.2,2.0.3
1911,org.apache.wicket,wicket,1.4.14,1.4.15
1914,org.ops4j.pax.url,pax-url-aether,1.4.0.RC1,1.4.0
1915,org.ops4j.pax.swissbox,pax-swissbox-extender,1.5.0,1.5.1
1917,org.ops4j.base,ops4j-base-store,1.3.0,1.4.0
1925,org.quartz-scheduler,quartz,2.0.2,2.1.0
1949,org.apache.mina,mina-core,2.0.1,2.0.2
1962,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3,0.3.1
1963,org.apache.wicket,wicket,1.4.17,1.4.18
1995,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3,0.3.1
1996,org.grails,grails-crud,1.3.7,2.0.1
1997,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
1999,org.skife.config,config-magic,0.8,0.9
2003,org.apache.thrift,libthrift,0.6.1,0.7.0
2004,org.skife.config,config-magic,0.8,0.9
2008,org.apache.xbean,xbean-bundleutils,3.11.1,3.12
2010,org.apache.mina,mina-core,2.0.1,2.0.2
2011,org.apache.thrift,libthrift,0.6.1,0.7.0
2012,org.apache.jackrabbit,jackrabbit-core,2.2.7,2.2.8
2014,org.ops4j.pax.swissbox,pax-swissbox-extender,1.5.0,1.5.1
2015,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
2017,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3,0.3.1
2018,org.quartz-scheduler,quartz,2.0.2,2.1.0
2022,org.apache.mina,mina-core,2.0.1,2.0.2
2023,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
2024,org.apache.xbean,xbean-bundleutils,3.11.1,3.12
2026,org.ops4j.base,ops4j-base-store,1.3.0,1.4.0
2028,org.apache.mina,mina-core,2.0.1,2.0.2
2033,org.ops4j.pax.swissbox,pax-swissbox-bnd,1.7.1,1.8.0
2034,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
2035,org.ops4j.pax.swissbox,pax-swissbox-bnd,1.7.1,1.8.0
2050,org.quartz-scheduler,quartz,1.8.3,1.8.4
2053,org.apache.mahout,mahout-core,0.5,0.6
2149,org.apache.mahout,mahout-core,0.5,0.6
2153,org.dbunit,dbunit,2.4.7,2.4.8
2154,org.hibernate,hibernate-core,3.3.0.SP1,3.3.1.GA
2179,org.codehaus.groovy.maven.runtime,gmaven-runtime-default,1.0-rc-2,1.0-rc-3
2198,org.codehaus.plexus,plexus-spring,1.1,1.2
2200,org.apache.aries.blueprint,org.apache.aries.blueprint,0.1-r964701,0.2-incubating
2201,org.codehaus.plexus,plexus-spring,1.1,1.2
2207,org.apache.camel,camel-web,2.0.0,2.1.0
2212,org.apache.aries.blueprint,org.apache.aries.blueprint,0.2-incubating,0.2.1
2213,org.apache.aries.blueprint,org.apache.aries.blueprint,0.1-r964701,0.2-incubating
2217,org.apache.aries.blueprint,org.apache.aries.blueprint,0.1-r964701,0.2-incubating
2235,ch.qos.logback,logback-classic,0.9.10,0.9.11
2242,ch.qos.logback,logback-classic,0.9.10,0.9.11
2244,org.apache.aries.transaction,org.apache.aries.transaction.blueprint,0.1-incubating,0.2-incubating
2245,org.apache.aries.jpa,org.apache.aries.jpa.blueprint.aries,0.1-incubating,0.2-incubating
2246,org.apache.aries.transaction,org.apache.aries.transaction.blueprint,0.1-incubating,0.2-incubating
2247,org.apache.aries.jpa,org.apache.aries.jpa.blueprint.aries,0.1-incubating,0.2-incubating
2251,com.ning,async-http-client,1.6.3,1.6.4
2252,com.ning,async-http-client,1.6.3,1.6.4
2262,org.apache.mina,mina-core,1.1.7,2.0.0-M1
2264,org.apache.jackrabbit,jackrabbit-core,1.4.12,1.5.0
2270,org.apache.jackrabbit,jackrabbit-ocm,1.4,1.5.0
2272,org.apache.jackrabbit,jackrabbit-core,1.4.12,1.5.0
2274,org.apache.jackrabbit,jackrabbit-core,1.4.3,1.4.5
2275,org.apache.jackrabbit,jackrabbit-core,1.4.3,1.4.5
2292,org.hibernate,hibernate-core,3.3.0.SP1,3.3.1.GA
2295,org.hibernate,hibernate-core,3.3.0.SP1,3.3.1.GA
2311,org.apache.wicket,wicket,1.4.8,1.4.9
2313,org.apache.wicket,wicket,1.4.0,1.4.1
2317,org.apache.wicket,wicket,1.4.0,1.4.1
2318,org.hibernate,hibernate-core,3.3.0.SP1,3.3.1.GA
2323,org.apache.wicket,wicket,1.4.8,1.4.9
2324,org.hibernate,hibernate-entitymanager,3.4.0.CR1,3.4.0.GA
2325,org.hibernate,hibernate-entitymanager,3.4.0.CR1,3.4.0.GA
2327,org.hibernate,hibernate-entitymanager,3.4.0.CR1,3.4.0.GA
2328,org.hibernate,hibernate-entitymanager,3.4.0.CR1,3.4.0.GA
2329,org.hibernate,hibernate-core,3.3.0.SP1,3.3.1.GA
2332,org.apache.jackrabbit,jackrabbit-core,1.5.2,1.5.3
2333,org.apache.jackrabbit,jackrabbit-core,1.5.2,1.5.3
2334,org.apache.jackrabbit,jackrabbit-core,1.5.4,1.5.5
2341,org.apache.jackrabbit,jackrabbit-core,1.5.4,1.5.5
2342,org.apache.jackrabbit,jackrabbit-core,1.5.4,1.5.5
2343,org.apache.jackrabbit,jackrabbit-core,1.5.4,1.5.5
2344,org.apache.mina,mina-core,2.0.2,2.0.3
2346,org.apache.jackrabbit,jackrabbit-core,1.5.4,1.5.5
2353,ch.qos.logback,logback-classic,1.0.6,1.0.7
2428,ch.qos.logback,logback-classic,1.0.7,1.0.8
2432,org.apache.mina,mina-core,2.0.1,2.0.2
2440,ch.qos.logback,logback-classic,1.0.6,1.0.7
2491,org.apache.cxf,cxf-bundle,2.6.6,2.6.7
2492,org.apache.cxf,cxf-rt-transports-http-jetty,2.6.6,2.6.7
2555,net.sf.ehcache,ehcache-core,2.6.5,2.6.6
2556,org.apache.mina,mina-core,2.0.8,2.0.9
2563,org.apache.activemq,activemq-client,5.10.2,5.11.0
2582,org.apache.mina,mina-core,2.0.8,2.0.9
2593,org.apache.mina,mina-core,2.0.8,2.0.9
4805,ch.qos.logback,logback-classic,1.0.10,1.0.11
4806,org.openrdf.sesame,sesame-util,2.7.0-beta1,2.7.0-beta2
4927,com.yammer.metrics,metrics-core,2.2.0,3.0.0-BETA1
4928,org.apache.mina,mina-core,2.0.4,2.0.5
4960,ch.qos.logback,logback-classic,1.0.10,1.0.11
5064,org.daisy.libs,com.xmlcalabash,1.0.23,1.1.9-p1-95
5069,net.java.truecommons,truecommons-logging,2.3.1,2.3.5
5189,ch.qos.logback,logback-classic,1.0.6,1.0.7
5190,ch.qos.logback,logback-classic,1.0.6,1.0.7
5201,ch.qos.logback,logback-classic,1.0.6,1.0.7
5209,org.springframework.data,spring-data-mongodb,1.0.2.RELEASE,1.0.3.RELEASE
5217,com.yammer.metrics,metrics-core,2.1.1,2.1.2
5290,org.apache.mina,mina-core,2.0.1,2.0.2
5301,net.sf.ehcache,ehcache-core,2.5.0,2.5.1
5337,com.yammer.metrics,metrics-core,2.1.1,2.1.2
5351,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
5359,org.skife.config,config-magic,0.13,0.14
5361,ch.qos.logback,logback-classic,1.0.6,1.0.7
5366,ch.qos.logback,logback-classic,1.0.6,1.0.7
5420,org.sonatype.sisu,sisu-velocity,1.1,1.2
5452,org.apache.xbean,xbean-bundleutils,3.11.1,3.12
5487,ch.qos.logback,logback-classic,1.0.7,1.0.8
5489,org.apache.shiro,shiro-core,1.2.0,1.2.1
5494,com.yammer.metrics,metrics-core,2.1.5,2.2.0
5499,org.apache.mina,mina-core,2.0.1,2.0.2
5500,org.sonatype.plexus,plexus-restlet-bridge,1.22,1.23
5502,ch.qos.logback,logback-classic,1.0.6,1.0.7
5503,org.springframework.data,spring-data-mongodb,1.0.2.RELEASE,1.0.3.RELEASE
5507,org.apache.shiro,shiro-core,1.2.0,1.2.1
5512,com.yammer.metrics,metrics-core,2.1.5,2.2.0
5533,org.javalite,activejdbc,1.4.8,1.4.10
5541,com.yammer.metrics,metrics-core,2.1.5,2.2.0
5542,com.mattbertolini,liquibase-slf4j,1.0.0,1.2.1
5543,com.yammer.metrics,metrics-core,2.2.0,3.0.0-BETA1
5544,org.apache.cxf,cxf-rt-transports-http-jetty,2.7.3,2.7.4
5549,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
5550,net.sf.ehcache,ehcache-core,2.5.0,2.5.1
5569,org.apache.shiro,shiro-core,1.2.0,1.2.1
5602,org.apache.avro,avro,1.7.7,1.8.0
5712,com.mattbertolini,liquibase-slf4j,1.0.0,1.2.1
5733,org.javalite,activejdbc,1.4.8,1.4.10
5758,com.yammer.metrics,metrics-core,2.1.5,2.2.0
5965,ch.qos.logback,logback-classic,1.0.7,1.0.8
6114,org.apache.avro,avro,1.7.7,1.8.0
6263,com.zaxxer,HikariCP,2.3.2,2.3.5
6275,io.dropwizard.metrics,metrics-core,3.1.0,3.1.1
6276,ch.qos.logback,logback-classic,1.0.11,1.0.12
6330,org.apache.activemq,activemq-client,5.10.2,5.11.0
6358,net.java.truecommons,truecommons-logging,2.3.1,2.3.5
6372,com.zaxxer,HikariCP,2.3.2,2.3.5
6711,com.yammer.metrics,metrics-core,2.2.0,3.0.0-BETA1
